,movie_id,genre
165,165,Thriller
166,166,Dark Comedy
166,166,Psychological Thriller
166,166,Drama
166,166,Thriller
167,167,Spy
167,167,Drama
167,167,Romance
167,167,Thriller
168,168,Dark Comedy
168,168,Whodunnit
168,168,Comedy
168,168,Mystery
169,169,Spy
169,169,Drama
169,169,Thriller
174,174,Computer Animation
174,174,Supernatural Fantasy
174,174,Urban Adventure
174,174,Adventure
174,174,Animation
174,174,Comedy
174,174,Family
174,174,Fantasy
175,175,Animal Adventure
175,175,Buddy Comedy
175,175,Computer Animation
175,175,Quest
175,175,Sea Adventure
175,175,Adventure
175,175,Animation
175,175,Comedy
175,175,Family
177,177,Coming-of-Age
177,177,Computer Animation
177,177,Adventure
177,177,Animation
177,177,Comedy
177,177,Drama
177,177,Family
177,177,Fantasy
178,178,Coming-of-Age
178,178,Computer Animation
178,178,Globetrotting Adventure
178,178,Adventure
178,178,Animation
178,178,Comedy
178,178,Drama
178,178,Family
179,179,Buddy Comedy
179,179,Computer Animation
179,179,Satire
179,179,Slapstick
179,179,Supernatural Fantasy
179,179,Urban Adventure
179,179,Adventure
179,179,Animation
179,179,Comedy
179,179,Family
180,180,Space Sci-Fi
180,180,Superhero
180,180,Time Travel
180,180,Tragedy
180,180,Action
180,180,Adventure
180,180,Sci-Fi
182,182,Superhero
182,182,Action
182,182,Adventure
182,182,Sci-Fi
183,183,Space Sci-Fi
183,183,Superhero
183,183,Action
183,183,Adventure
183,183,Sci-Fi
184,184,Buddy Comedy
184,184,Dark Comedy
184,184,Raunchy Comedy
184,184,Superhero
184,184,Action
184,184,Adventure
184,184,Comedy
184,184,Sci-Fi
187,187,Superhero
187,187,Action
187,187,Adventure
187,187,Drama
187,187,Sci-Fi
188,188,Quest
188,188,Space Sci-Fi
188,188,Superhero
188,188,Action
188,188,Adventure
188,188,Sci-Fi
189,189,Dark Fantasy
189,189,Superhero
189,189,Action
189,189,Adventure
189,189,Fantasy
189,189,Sci-Fi
